entanglement_density,success_rate,mean_reduction,mean_fidelity,mean_entropy,n_trials
0.0,0.0,0.029999999999999985,0.999999999999994,9.450108186253975e-15,60
0.05,0.0,0.03027777777777776,0.9999679821944949,0.13597136412399266,60
0.1,0.0,0.03263888888888888,0.999999213970947,0.2411948750965077,60
0.15,0.0,0.03916666666666665,0.99999999802847,0.3729162385767203,60
0.2,0.0,0.04513888888888887,0.9999999999999948,0.8108892049177344,60
0.25,0.0,0.05763888888888887,0.9999999999999952,0.8383993437974285,60
0.3,0.0,0.06736111111111111,0.9999999999999954,1.0115149832000703,60
0.35,0.08333333333333333,0.08416666666666665,0.999963324259371,1.3251393994238634,60
0.4,0.23333333333333334,0.0998611111111111,0.9999444057693377,1.52939366596674,60
0.45,0.36666666666666664,0.12194444444444442,0.9999904748375054,1.6712713594219635,60
0.5,0.45,0.13569444444444442,0.9999999999999963,1.5939670322460617,60
0.55,0.5,0.15624999999999997,0.9999999999999966,1.6808234925023922,60
0.6000000000000001,0.5,0.17430555555555555,0.9999721811318423,1.8674442192788283,60
0.65,0.5,0.19319444444444442,0.999999999999997,1.9680320755894138,60
0.7000000000000001,0.5,0.21208333333333332,0.9999999999999977,2.087199242471144,60
0.75,0.5,0.2386111111111111,0.9999973567046411,2.2440593508908413,60
0.8,0.5,0.2634722222222222,0.9999693303866712,2.2349798191487205,60
0.8500000000000001,0.5,0.2755555555555555,0.9999999999999982,2.262867365043662,60
0.9,0.5,0.3030555555555556,0.9998167778432374,2.2672592415016646,60
0.95,0.5,0.33166666666666667,0.9972635687081123,2.2810140937556858,60
1.0,0.5333333333333333,0.4643055555555556,0.9838061888925609,2.2603740136298245,60
