n_qubits,optimizer,mean_reduction,min_reduction
4,phase1_greedy,0.0,0.0
4,phase2a_commutation,0.625,0.625
4,phase2b_template,0.125,0.125
6,phase1_greedy,0.0,0.0
6,phase2a_commutation,0.7692307692307692,0.7692307692307692
6,phase2b_template,0.0,0.0
8,phase1_greedy,0.0,0.0
8,phase2a_commutation,0.8333333333333334,0.8333333333333334
8,phase2b_template,0.0,0.0
10,phase1_greedy,0.0,0.0
10,phase2a_commutation,0.8695652173913043,0.8695652173913043
10,phase2b_template,0.0,0.0
12,phase1_greedy,0.0,0.0
12,phase2a_commutation,0.8928571428571429,0.8928571428571429
12,phase2b_template,0.0,0.0
