,ID,Claim,Manuscript_Location,Evidence_Type,Evidence_ID,Code_Script,Data_File,Limitations_Caveats
0,C1,The Phase-1 ceiling is structural under the tested listing/window/local-rewrite model: Phase-1 optimizers achieve ~0% gate reduction when no listing-adjacent inverse/mergeable pairs are exposed.,Section 3 (Thm 1/2); Section 5.1; Fig.1; Table 1,Experiment,E1-E5; E14; E19,experiments/e01_phase_transition/run.py; experiments/e19_wcl_listing/run.py,data/v3/e01/; data/v5/e14/; data/v6/e19/,Not a universal lower bound. Ceiling is listing/window/model-conditional; WCL validation confirmed for random Universal family (C9).
1,C2,Phase-2a commutation rewriting provides context-dependent improvement on select circuit families.,Section 3 (C2); Section 5.3; Fig.4; Fig.13,Experiment,E10; E14; E16; E24,experiments/e10_phase1_vs_phase2/run.py; experiments/e24_theorem7/run.py,data/v3_extended/e10/; data/v5/e14/; data/v5/e16/; data/v7/e24/,Improvement is family-dependent. Phase-2a empirical results do not prove Phase-2b template-assisted theorems.
2,C3,Production compiler gap analysis reveals mechanisms beyond the prototype peephole model.,Section 5.4; Fig.12; Fig.17; Table 8,Experiment,E12; E15; Qiskit pass-isolation artifact,experiments/e12_compiler_baseline/run.py; scripts/phase7_qiskit_pass_isolation.py,data/v5/e12/; data/v5/e15/,Hardware-specific effects not fully modeled. Cirq/t|ket> comparisons are present in E20 but require independent verification.
3,C4,Phase-2a window size w affects the trade-off between optimization power and runtime.,Section 5.3.2; Fig.13,Experiment,E16,experiments/e16_window_scaling/run.py,data/v5/e16/,Underpowered comparison (reported power=0.126); treat saturation as empirical trend not confirmed design rule.
4,C5,Hardware topology constraints affect optimization opportunities differently.,Section 5.5; Fig.14,Experiment,E17,experiments/e17_connectivity/run.py,data/v5/e17/,Simplified topology models. Real hardware has additional noise/error effects not modeled.
5,C6,Clifford+T gate-set decomposition preserves some Phase-2 value among surviving rows.,Section 5.6.4,Experiment,E18,experiments/e18_clifford_t/run.py,data/v5/e18/,Survivorship-biased: decomposition/fidelity failures are excluded. Do not generalize to failed rows or full attempted population.
6,C7,Exact functionality is preserved where fidelity is computed and retained.,Section 4.4; Section 5,Experiment,E1-E21,src/optimisation/base.py; all experiment scripts,data/*/e*/,Exact/scalable unitary comparison for supported qubit sizes. Failed/invalid rows are filtered where valid fidelity is required.
7,C8,The Phase-1 reduction ceiling is formally established for bounded circuits with the bounded INSERTION cascade gap resolved.,Section 3; Appendix A,Theorem,Thm 2; Thm 2b,src/optimisation/base.py; docs/theory/formal_results.md,N/A,The unbounded INSERTION cascade remains open. QMA-hardness of CODP remains separate theoretical motivation.
8,C9,Listing-model dependency: WCL-style preprocessing exposes Phase-1 opportunities hidden under LBL.,Section 5.2; Table 2,Experiment,E19,experiments/e19_wcl_listing/run.py,data/v6/e19/,Cross-family WCL validation (beyond random Universal) remains future work; Phase-2 commutation opportunities under WCL not separately measured.
9,C10,Ceiling-aware optimization can skip futile optimization passes with identical reduction and significant speedup.,Section 5.5; Table 7,Experiment,E21 full mode,experiments/e21_ceiling_aware/run.py; experiments/e21_ceiling_aware/analyze.py,data/v6/e21/,Exact fidelity verified only for n<=6; larger circuits use target=None (correctness is covered by unit tests).
10,C11,Multi-compiler extension with Cirq and t|ket> produces comparable reduction and runtime data.,Section 5.4; Supplementary S11.2,Experiment,E20 full mode,experiments/e20_multi_compiler_full/run.py,data/v6/e20/multi_compiler_full.csv,Baseline compiler settings are standardized but may not reflect optimal per-family tuning.
11,C12,Phase-2b template-assisted BV advantage is theoretically proved and the required template is implemented and unit-tested.,Section 3 (Thm 9); Section 5.3.4; Appendix B,Theorem + Unit Test,Thm 7; Thm 9; tests/test_phase2b_template_matcher.py,src/optimisation/phase2/template_matcher.py; tests/test_phase2b_template_matcher.py,N/A,Do not conflate Phase-2b theorem/tests with E10/E11/E14/E16 Phase-2a canonical results. Full canonical-scale Phase-2b benchmark rerun remains future work.
12,Thm6,Clifford circuits in Aaronson-Gottesman canonical form have empty Phase-1 action space (R1=0).,docs/theory/formal_results.md Theorem 6,Experiment,E23,src/circuits/ag_canonical.py; experiments/e23_ag_canonical/run.py,data/v7/e23/,Validation uses random AG canonical circuits; does not cover all possible canonical forms exhaustively.
13,Thm7,Explicit artificial circuit family with R1=0 and R_{1+2a} >= 1/6.,docs/theory/formal_results.md Theorem 7,Experiment,E24,src/circuits/hardness_families.py; experiments/e24_theorem7/run.py,data/v7/e24/,Construction uses even n>=4; odd n and minimal n=2 not tested.
