part,n_qubits,m_gates,t_ms,t_full_pipeline_ms
C1_m_sweep,6,24,0.32080000164569356,
C1_m_sweep,6,48,0.5818000008730451,
C1_m_sweep,6,92,1.070899999831454,
C1_m_sweep,6,181,2.1956000000500353,
C1_m_sweep,6,365,4.7440999987884425,
C1_m_sweep,6,742,8.977400000730995,
C2_bv_n_sweep,4,14,0.21700000070268288,1.3381000007939292
C2_bv_n_sweep,6,20,0.29539999923144933,2.755299999989802
C2_bv_n_sweep,8,26,0.6076000008761184,7.05750000088301
C2_bv_n_sweep,10,31,0.43559999903663993,6.018599999151775
C2_bv_n_sweep,12,36,0.5703999995603226,8.3228000003146
C2_bv_n_sweep,14,41,0.5646999998134561,10.956699999951525
C2_bv_n_sweep,16,45,0.6258999983401736,14.493100001345738
C3_cnot_m_sweep,6,80,0.6114999996498227,
C3_cnot_m_sweep,6,160,1.1961000000155764,
C3_cnot_m_sweep,6,320,2.877799999623676,
C3_cnot_m_sweep,6,640,7.677300000068499,
C3_cnot_m_sweep,6,1280,22.02690000012808,
C3_cnot_m_sweep,6,2560,71.35950000156299,
