held_out_family,n_train,n_test,n_reducible_train,n_reducible_test,mean_actual,mean_predicted,std_actual,std_predicted,mae,mae_nonzero_actual,pearson_r,pearson_ci_lower,pearson_ci_upper,spearman_r,spearman_ci_lower,spearman_ci_upper,r2,r2_ci_lower,r2_ci_upper,clf_accuracy,clf_precision,clf_recall,clf_f1,confusion_matrix,clf_top3_features,reg_top3_features
Adder,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],gate_density(0.201); cnot_fraction(0.158); x0_RandomClifford(0.140),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
CNOT,530,40,73,40,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 0], [40, 0]]",cnot_fraction(0.242); gate_density(0.187); x0_RandomClifford(0.167),gate_density(0.551); x0_Grover(0.143); cnot_fraction(0.142)
GHZ,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],gate_density(0.176); cnot_fraction(0.165); x0_RandomClifford(0.146),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
Grover,530,40,97,16,0.019384806546351163,0.0,0.029090427025052545,0.0,0.019384806546351163,0.04846201636587791,,,,,,,-0.4440406704422404,-0.897826195170629,-0.2399081182429783,0.6,0.0,0.0,0.0,"[[24, 0], [16, 0]]",gate_density(0.182); cnot_fraction(0.165); x0_RandomClifford(0.165),x0_CNOT(0.269); inverse_pair_density(0.265); depth_times_density(0.260)
HaarRandom,560,10,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[10]],gate_density(0.190); x0_RandomClifford(0.155); cnot_fraction(0.146),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
HardwareEfficient,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],gate_density(0.179); cnot_fraction(0.177); x0_RandomClifford(0.138),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
IQP,530,40,113,0,0.0,0.026471426304131167,0.0,0.05295433552836506,0.026471426304131167,,,,,,,,0.0,0.0,0.0,0.8,0.0,0.0,0.0,"[[32, 8], [0, 0]]",cnot_fraction(0.191); gate_density(0.174); x0_RandomClifford(0.139),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
Oracle,530,40,97,16,0.1584744856107085,0.0,0.23009693920599478,0.0,0.1584744856107085,0.39618621402677134,,,,,,,-0.4743479393616712,-0.8795348632329886,-0.2557945198602321,0.6,0.0,0.0,0.0,"[[24, 0], [16, 0]]",gate_density(0.248); x0_RandomClifford(0.163); cnot_fraction(0.128),cnot_fraction(0.503); inverse_pair_density(0.176); depth_times_density(0.157)
QAOA,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],gate_density(0.173); x0_RandomClifford(0.164); cnot_fraction(0.147),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
QFT,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],gate_density(0.189); cnot_fraction(0.182); x0_RandomClifford(0.135),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
QuantumWalk,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],gate_density(0.196); cnot_fraction(0.173); x0_RandomClifford(0.137),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
RandomClifford,530,40,73,40,0.1935843603262552,0.006830587420728766,0.07901710413959118,0.042657004770336425,0.18675377290552647,0.18675377290552647,0.30649438244419785,0.2509829471126622,0.5626089818037983,0.2705770485051783,0.2707295578917388,0.5204372063304996,-5.546457447370167,-9.080967551648301,-3.6646316951417175,0.025,1.0,0.025,0.04878048780487805,"[[0, 0], [39, 1]]",cnot_fraction(0.186); inverse_pair_density(0.115); gate_density(0.108),cnot_fraction(0.222); inverse_pair_density(0.189); is_ceiling_proxy_binary(0.178)
SurfaceCode,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],gate_density(0.183); cnot_fraction(0.162); x0_RandomClifford(0.158),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
UCCSD,530,40,112,1,0.001,0.006545436857433602,0.006244997998398397,0.04087624007331595,0.005545436857433602,0.22181747429734408,0.9999999999999999,0.9999999999999996,1.0,0.9999999999999999,0.9999999999999999,1.0,-30.540379425418532,-32.24526479976549,1.0,1.0,1.0,1.0,1.0,"[[39, 0], [0, 1]]",gate_density(0.225); cnot_fraction(0.147); x0_RandomClifford(0.144),x0_CNOT(0.257); inverse_pair_density(0.222); depth_times_density(0.212)
VQE,530,40,113,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,[[40]],cnot_fraction(0.186); gate_density(0.169); x0_RandomClifford(0.149),x0_CNOT(0.258); inverse_pair_density(0.244); depth_times_density(0.240)
